Sample_ID,Sample Name,Source Plate Barcode,Source Plate Name,Source Well,Destination Plate Barcode,Destination Plate Name,Destination Well,Volume
Moty_run1_c319,Moty_run1_c319,GF0001258,GF0001258_Process,N6,GF0001264,GF0001264,N6,1000.0
Moty_run1_c320,Moty_run1_c320,GF0001258,GF0001258_Process,N7,GF0001264,GF0001264,N7,1000.0
Moty_run1_c321,Moty_run1_c321,GF0001258,GF0001258_Process,N8,GF0001264,GF0001264,N8,1000.0
Moty_run1_c322,Moty_run1_c322,GF0001258,GF0001258_Process,N9,GF0001264,GF0001264,N9,1000.0
Moty_run1_c323,Moty_run1_c323,GF0001258,GF0001258_Process,N10,GF0001264,GF0001264,N10,1000.0
Moty_run1_c324,Moty_run1_c324,GF0001258,GF0001258_Process,N11,GF0001264,GF0001264,N11,1000.0
Moty_run1_c325,Moty_run1_c325,GF0001258,GF0001258_Process,N12,GF0001264,GF0001264,N12,1000.0
Moty_run1_c326,Moty_run1_c326,GF0001258,GF0001258_Process,N13,GF0001264,GF0001264,N13,1000.0
Moty_run1_c327,Moty_run1_c327,GF0001258,GF0001258_Process,N14,GF0001264,GF0001264,N14,1000.0
Moty_run1_c328,Moty_run1_c328,GF0001258,GF0001258_Process,N15,GF0001264,GF0001264,N15,1000.0
Moty_run1_c329,Moty_run1_c329,GF0001258,GF0001258_Process,N16,GF0001264,GF0001264,N16,1000.0
Moty_run1_c330,Moty_run1_c330,GF0001258,GF0001258_Process,N17,GF0001264,GF0001264,N17,1000.0
Moty_run1_c331,Moty_run1_c331,GF0001258,GF0001258_Process,N18,GF0001264,GF0001264,N18,1000.0
Moty_run1_c332,Moty_run1_c332,GF0001258,GF0001258_Process,N19,GF0001264,GF0001264,N19,1000.0
Moty_run1_c333,Moty_run1_c333,GF0001258,GF0001258_Process,N20,GF0001264,GF0001264,N20,1000.0
Moty_run1_c334,Moty_run1_c334,GF0001258,GF0001258_Process,N21,GF0001264,GF0001264,N21,1000.0
Moty_run1_c335,Moty_run1_c335,GF0001258,GF0001258_Process,N22,GF0001264,GF0001264,N22,1000.0
Moty_run1_c336,Moty_run1_c336,GF0001258,GF0001258_Process,N23,GF0001264,GF0001264,N23,1000.0
Moty_run1_c337,Moty_run1_c337,GF0001258,GF0001258_Process,N24,GF0001264,GF0001264,N24,1000.0
Moty_run1_c338,Moty_run1_c338,GF0001258,GF0001258_Process,O1,GF0001264,GF0001264,O1,1000.0
Moty_run1_c339,Moty_run1_c339,GF0001258,GF0001258_Process,O2,GF0001264,GF0001264,O2,1000.0
Moty_run1_c340,Moty_run1_c340,GF0001258,GF0001258_Process,O3,GF0001264,GF0001264,O3,1000.0
Moty_run1_c341,Moty_run1_c341,GF0001258,GF0001258_Process,O4,GF0001264,GF0001264,O4,1000.0
Moty_run1_c342,Moty_run1_c342,GF0001258,GF0001258_Process,O5,GF0001264,GF0001264,O5,1000.0
Moty_run1_c343,Moty_run1_c343,GF0001258,GF0001258_Process,O6,GF0001264,GF0001264,O6,1000.0
Moty_run1_c344,Moty_run1_c344,GF0001258,GF0001258_Process,O7,GF0001264,GF0001264,O7,1000.0
Moty_run1_c345,Moty_run1_c345,GF0001258,GF0001258_Process,O8,GF0001264,GF0001264,O8,1000.0
Moty_run1_c346,Moty_run1_c346,GF0001258,GF0001258_Process,O9,GF0001264,GF0001264,O9,1000.0
Moty_run1_c347,Moty_run1_c347,GF0001258,GF0001258_Process,O10,GF0001264,GF0001264,O10,1000.0
Moty_run1_c348,Moty_run1_c348,GF0001258,GF0001258_Process,O11,GF0001264,GF0001264,O11,1000.0
Moty_run1_c349,Moty_run1_c349,GF0001258,GF0001258_Process,O12,GF0001264,GF0001264,O12,1000.0
Moty_run1_c350,Moty_run1_c350,GF0001258,GF0001258_Process,O13,GF0001264,GF0001264,O13,1000.0
Moty_run1_c351,Moty_run1_c351,GF0001258,GF0001258_Process,O14,GF0001264,GF0001264,O14,1000.0
Moty_run1_c352,Moty_run1_c352,GF0001258,GF0001258_Process,O15,GF0001264,GF0001264,O15,1000.0
Moty_run1_c353,Moty_run1_c353,GF0001258,GF0001258_Process,O16,GF0001264,GF0001264,O16,1000.0
Moty_run1_c354,Moty_run1_c354,GF0001258,GF0001258_Process,O17,GF0001264,GF0001264,O17,1000.0
Moty_run1_c355,Moty_run1_c355,GF0001258,GF0001258_Process,O18,GF0001264,GF0001264,O18,1000.0
Moty_run1_c356,Moty_run1_c356,GF0001258,GF0001258_Process,O19,GF0001264,GF0001264,O19,1000.0
Moty_run1_c357,Moty_run1_c357,GF0001258,GF0001258_Process,O20,GF0001264,GF0001264,O20,1000.0
Moty_run1_c358,Moty_run1_c358,GF0001258,GF0001258_Process,O21,GF0001264,GF0001264,O21,1000.0
Moty_run1_c359,Moty_run1_c359,GF0001258,GF0001258_Process,O22,GF0001264,GF0001264,O22,1000.0
Moty_run1_c360,Moty_run1_c360,GF0001258,GF0001258_Process,O23,GF0001264,GF0001264,O23,1000.0
